,Title,Description,Short_description,Category,CategoryID
10,Motor racing: Hamilton fastest in China practice but Ferrari close,"SHANGHAI (Reuters) - Formula One world champion Lewis Hamilton edged out Kimi Raikkonen at the top of the timesheets as Ferrari ended the opening day of practice for Sunday’s Chinese Grand Prix hot on pacesetter Mercedes’ heels.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=el5e9oqF7ew:pbCZjaCt9bU:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=el5e9oqF7ew:pbCZjaCt9bU:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=el5e9oqF7ew:pbCZjaCt9bU:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=el5e9oqF7ew:pbCZjaCt9bU:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=el5e9oqF7ew:pbCZjaCt9bU:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/el5e9oqF7ew"" height=""1"" width=""1"" alt=""""/>",Formula One world champion Lewis Hamilton edged out Kimi Raikkonen at the top of the timesheets as Ferrari ended the opening day of practice for Sunday’s Chinese Grand Prix hot on pacesetter Mercedes’ heels.,sportsNews,1
11,NBA: Record number of international players reach postseason,"(Reuters) - The NBA postseason will have a distinct international flair with a record 62 foreign born players from 33 countries chasing a championship ring, the league said on Thursday.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=q7j5lbs9es0:b4cqZ9-2H9U:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=q7j5lbs9es0:b4cqZ9-2H9U:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=q7j5lbs9es0:b4cqZ9-2H9U:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=q7j5lbs9es0:b4cqZ9-2H9U:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=q7j5lbs9es0:b4cqZ9-2H9U:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/q7j5lbs9es0"" height=""1"" width=""1"" alt=""""/>","The NBA postseason will have a distinct international flair with a record 62 foreign born players from 33 countries chasing a championship ring, the league said on Thursday.",sportsNews,1
12,"Motor racing: F1 has set a May date for engine rules, says Arrivabene","SHANGHAI (Reuters) - Formula One's commercial rights holders want a decision on post-2020 engine regulations to be decided by the end of May, Ferrari team-principal Maurizio Arrivabene told reporters on Friday.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=b1reSPubgLQ:VFVJwndARrU:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=b1reSPubgLQ:VFVJwndARrU:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=b1reSPubgLQ:VFVJwndARrU:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=b1reSPubgLQ:VFVJwndARrU:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=b1reSPubgLQ:VFVJwndARrU:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/b1reSPubgLQ"" height=""1"" width=""1"" alt=""""/>","Formula One's commercial rights holders want a decision on post-2020 engine regulations to be decided by the end of May, Ferrari team-principal Maurizio Arrivabene told reporters on Friday.",sportsNews,1
13,Soccer: Qualifying for new Club World Cup would take place over four seasons,"ZURICH (Reuters) - FIFA has proposed that a revamped and enlarged version of the Club World Cup, planned to start in 2021, would include all European champions, runners-up and Europa League winners from  the four seasons up to and including the year of the event.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=BY1obm3kUZo:O_adrhcC7y8:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=BY1obm3kUZo:O_adrhcC7y8:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=BY1obm3kUZo:O_adrhcC7y8:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=BY1obm3kUZo:O_adrhcC7y8:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=BY1obm3kUZo:O_adrhcC7y8:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/BY1obm3kUZo"" height=""1"" width=""1"" alt=""""/>","FIFA has proposed that a revamped and enlarged version of the Club World Cup, planned to start in 2021, would include all European champions, runners-up and Europa League winners from  the four seasons up to and including the year of the event.",sportsNews,1
14,"Motor racing: McLaren fined 5,000 euros for unsafe pitstop","SHANGHAI (Reuters) - McLaren have been fined 5,000 euros ($6,161.00) after the Formula One team’s Belgian driver Stoffel Vandoorne was released from the pits with a loose wheel during Friday's Chinese Grand Prix practice.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=UbgbPo6kam8:blyWpqYGTwo:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=UbgbPo6kam8:blyWpqYGTwo:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=UbgbPo6kam8:blyWpqYGTwo:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=UbgbPo6kam8:blyWpqYGTwo:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=UbgbPo6kam8:blyWpqYGTwo:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/UbgbPo6kam8"" height=""1"" width=""1"" alt=""""/>","McLaren have been fined 5,000 euros ($6,161.00) after the Formula One team’s Belgian driver Stoffel Vandoorne was released from the pits with a loose wheel during Friday's Chinese Grand Prix practice.",sportsNews,1
15,Olympics: Weightlifting chief hopes new anti-doping strategy secures sport's future,"TOKYO, Japan (Reuters) - The International Weightlifting Federation hopes that ""innovative and creative"" rules targeting nations who have violated anti-doping regulations will secure the long term future of the sport in the Olympic program.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=MLKbfH5REfw:X7zAqINSaPU:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=MLKbfH5REfw:X7zAqINSaPU:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=MLKbfH5REfw:X7zAqINSaPU:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=MLKbfH5REfw:X7zAqINSaPU:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=MLKbfH5REfw:X7zAqINSaPU:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/MLKbfH5REfw"" height=""1"" width=""1"" alt=""""/>","The International Weightlifting Federation hopes that ""innovative and creative"" rules targeting nations who have violated anti-doping regulations will secure the long term future of the sport in the Olympic program.",sportsNews,1
16,Games: Hughes learning to live with 200 meters disqualification,"GOLD COAST, Australia (Reuters) - England sprinter Zharnel Hughes said he had no choice but to accept the decision that robbed him of 200 meters gold at the Commonwealth Games, adding that making contact with rival Jereem Richards had been an accident.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=hdJl3sffnIY:J6KLvYYJ-54:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=hdJl3sffnIY:J6KLvYYJ-54:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=hdJl3sffnIY:J6KLvYYJ-54:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=hdJl3sffnIY:J6KLvYYJ-54:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=hdJl3sffnIY:J6KLvYYJ-54:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/hdJl3sffnIY"" height=""1"" width=""1"" alt=""""/>","England sprinter Zharnel Hughes said he had no choice but to accept the decision that robbed him of 200 meters gold at the Commonwealth Games, adding that making contact with rival Jereem Richards had been an accident.",sportsNews,1
17,Russia's Prokhorov sells 49 percent stake in Brooklyn Nets to Alibaba's Tsai,"MOSCOW (Reuters) - Russian billionaire Mikhail Prokhorov has sold a 49-percent stake in the Brooklyn Nets basketball team to Joe Tsai, the executive vice chairman and co-founder of the Alibaba Group, the NBA team said in a statement.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=nMixgvcM4Ms:ReBkV_JpY4I:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=nMixgvcM4Ms:ReBkV_JpY4I:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=nMixgvcM4Ms:ReBkV_JpY4I:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=nMixgvcM4Ms:ReBkV_JpY4I:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=nMixgvcM4Ms:ReBkV_JpY4I:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/nMixgvcM4Ms"" height=""1"" width=""1"" alt=""""/>","Russian billionaire Mikhail Prokhorov has sold a 49-percent stake in the Brooklyn Nets basketball team to Joe Tsai, the executive vice chairman and co-founder of the Alibaba Group, the NBA team said in a statement.",sportsNews,1
18,Motor racing: F1 owner in talks over China venture to boost market push - sources,"BEIJING/LONDON (Reuters) - Formula One is in talks with potential Chinese partners to set up a new local venture, four sources have told Reuters, which would help it push deeper into the huge but still nascent China market.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=PbYi_c01RiY:-Pkz-R-6c4A:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=PbYi_c01RiY:-Pkz-R-6c4A:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=PbYi_c01RiY:-Pkz-R-6c4A:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=PbYi_c01RiY:-Pkz-R-6c4A:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=PbYi_c01RiY:-Pkz-R-6c4A:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/PbYi_c01RiY"" height=""1"" width=""1"" alt=""""/>","Formula One is in talks with potential Chinese partners to set up a new local venture, four sources have told Reuters, which would help it push deeper into the huge but still nascent China market.",sportsNews,1
19,Soccer: Kovac to take over Bayern next season on three year deal-club,"BERLIN (Reuters) - Croatian Niko Kovac will succeed Jupp Heynckes as Bayern Munich coach next season, agreeing on a three-year contract, the German champions said on Friday.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=qKUPWsrKUXA:W6D7yuX_6tM:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=qKUPWsrKUXA:W6D7yuX_6tM:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=qKUPWsrKUXA:W6D7yuX_6tM:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/sportsNews?a=qKUPWsrKUXA:W6D7yuX_6tM:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/sportsNews?i=qKUPWsrKUXA:W6D7yuX_6tM:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/sportsNews/~4/qKUPWsrKUXA"" height=""1"" width=""1"" alt=""""/>","Croatian Niko Kovac will succeed Jupp Heynckes as Bayern Munich coach next season, agreeing on a three-year contract, the German champions said on Friday.",sportsNews,1
